baker,full_name,series,episode,technical,result,baker_age,baker_occupation,hometown,signature_bake,show_stopper
Ruth,Ruth Clemens,1,6,NA,Runner-up,31,Retail manager/Housewife,"Poynton, Cheshire","Mint, Ginger and Blackberry Cake",
Edd,Edd Kimber,1,6,NA,WINNER,24,Debt collector for Yorkshire Bank,Bradford,Cinnamon and Banana Cake,
Annetha,Annetha Mills,1,6,NA,NA,30,Midwife,Essex,NA,NA
David,David Chambers,1,6,NA,NA,31,Entrepreneur,Milton Keynes,NA,NA
Jasminder,Jasminder Randhawa,1,6,NA,NA,45,Assistant Credit Control Manager,Birmingham,NA,NA
Jonathan,Jonathan Shepherd,1,6,NA,NA,25,Research Analyst,St Albans,NA,NA
Lea,Lea Harris,1,6,NA,NA,51,Retired,"Midlothian, Scotland",NA,NA
Louise,Louise Brimelow,1,6,NA,NA,44,Police Officer,Manchester,NA,NA
Mark,Mark Whithers,1,6,NA,NA,48,Bus Driver,South Wales,NA,NA
Ben,Ben Frazer,2,1,2,IN,31,Graphic Designer,Northampton,Rhubarb and Custard CupcakesAfter Dinner Cupcakes,Vanilla Sponge with White Chocolate and Raspberry Buttercream
Ian,Ian Vallance,2,1,10,IN,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",Apple and Cinnamon Cupcakes,UNKNOWN
Janet,Janet Basu,2,1,8,IN,63,Teacher of Modern Languages,"Formby, Liverpool",Raspberry and Cream Cupcakes,Chocolate Marble Cakewith Dark and White Chocolate Truffles
Jason,Jason White,2,1,6,IN,19,Civil Engineering Student,Croydon,Lemon Meringue CupcakesApple and Cinnamon Cupcakes,UNKNOWN
Jo,Jo Wheatley,2,1,11,IN,41,Housewife,"Ongar, Essex",Chocolate Orange CupcakesOrange and Cardamom Cupcakes,Chocolate and Strawberry Cake
Mary-Anne,Mary-Anne Boermans,2,1,4,IN,45,Housewife,"Kidderminster, Worcestershire",Banoffee Cupcakes,Chocolate and Raspberry Opera cake
Robert,Robert Billington,2,1,3,IN,25,Photographer,London,Blackberry and Vanilla Cupcakeswith Liquorice Frosting,Genoise Layered Mousse Cakewith Chocolate Ganache
Simon,Simon Blackwell,2,1,9,IN,31,Rugby Coach,Norfolk,Guinness and Chocolate Cupcakes,Two-Tiered Chocolate Courgette Cake
Urvashi,Urvashi Roe,2,1,7,IN,40,Head of Marketing,"Enfield, London",Cherry Blossom CupcakesJapanese Lime Cupcakes,UNKNOWN
Yasmin,Yasmin Limbert,2,1,5,IN,43,Childminder,"West Kirby, The Wirral",Cardamom and Pomegranate Cupcakes,UNKNOWN
Keith,Keith Batsford,2,1,12,OUT,31,House husband,"Arlesey, Bedfordshire",Earl Grey Cupcakes,Chocolate and Sour Cream Cake
Holly,Holly Bell,2,1,1,STAR BAKER,31,Advertising executive,Leicester,Cherry Bakewell Inspired CupcakesGinger Cupcakes with Fig Truffle,UNKNOWN
Ben,Ben Frazer,2,2,1,IN,31,Graphic Designer,Northampton,"Chorizo, Pepper and Gruyere Quiche",Lemon Meringue Tarts
Holly,Holly Bell,2,2,4,IN,31,Advertising executive,Leicester,Pesto Quiche,Milk Chocolate and Pistachio TartsTrifle Tarts
Ian,Ian Vallance,2,2,2,IN,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire","Stilton, Spinach and New Potato Quichewith Paprika and Walnut Pastry",UNKNOWN
Janet,Janet Basu,2,2,8,IN,63,Teacher of Modern Languages,"Formby, Liverpool",Quiche Printanière,Red Fruit TartsChocolate and Cherry Tarts
Jo,Jo Wheatley,2,2,10,IN,41,Housewife,"Ongar, Essex","Caramelised Onion, Gruyere and Thyme Quiche",Raspberry and Mascarpone Tarts with Lemon and Almond PastryHoney and Almond Tarts with Sweetcrust
Mary-Anne,Mary-Anne Boermans,2,2,9,IN,45,Housewife,"Kidderminster, Worcestershire","Roasted Cauliflower, Cheese andCaramelised Onion Quiche",Butterscotch Brulée Tarts in Pecan PastryApple Rose Tarts
Robert,Robert Billington,2,2,5,IN,25,Photographer,London,Smoked Bacon and Kale Quiche,"Chocolate, Fennel and Ginger TartAlmond, Creme Patissiere and Poached Pear Tart"
Urvashi,Urvashi Roe,2,2,7,IN,40,Head of Marketing,"Enfield, London","Crab, Coriander and Coconut Quiche",Strawberry and Basil TartsElderflower and Honeycomb Tarts
Yasmin,Yasmin Limbert,2,2,6,IN,43,Childminder,"West Kirby, The Wirral",Smoked Haddock and Watercress Quiche,Chocolate and Orange with Cinnamon-Orange Pastry TartsBlueberry and Hazelnut with Hazelnut Pastry Tarts
Simon,Simon Blackwell,2,2,11,OUT,31,Rugby Coach,Norfolk,Smoked Haddock and Watercress Quiche,"Passion Fruit and Ricotta TartsSalted Chocolate, Stem Ginger and Mascarpone Cream Tarts"
Jason,Jason White,2,2,3,STAR BAKER,19,Civil Engineering Student,Croydon,Salmon and Pak Choi Quiche,Mint Chocolate Tarts Blueberry Bakewell Tarts
Keith,Keith Batsford,2,2,NA,NA,31,House husband,"Arlesey, Bedfordshire",NA,NA
Ben,Ben Frazer,2,3,3,IN,31,Graphic Designer,Northampton,"Walnut, Raisin and Rosemary Loaf",UNKNOWN
Holly,Holly Bell,2,3,6,IN,31,Advertising executive,Leicester,Picnic Loaf,Stilton and Walnut Rolls
Janet,Janet Basu,2,3,8,IN,63,Teacher of Modern Languages,"Formby, Liverpool",Zupfe Loaf with Gruyère Cheese,Apple and Walnut Granary Rolls Red Onion Cottage Rolls
Jason,Jason White,2,3,7,IN,19,Civil Engineering Student,Croydon,Cheese and Onion Tear and Share Loaf,UNKNOWN
Jo,Jo Wheatley,2,3,1,IN,41,Housewife,"Ongar, Essex","Stromboli flavored with Mozzarella, Ham, and Picante Pepper",Unknown
Mary-Anne,Mary-Anne Boermans,2,3,5,IN,45,Housewife,"Kidderminster, Worcestershire",Ploughman's Loaf,Herb and Walnut BreadsChocolate and Chilli Buns
Robert,Robert Billington,2,3,4,IN,25,Photographer,London,Rye and Coriander Seed Loaf,Blueberry Brioche RollsLemon and Poppy Seed Rolls
Ian,Ian Vallance,2,3,10,OUT,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire","Courgette, Caerphilly Cheese and Thyme Loaf",Walnut and Raisin RollsCracked Wheat Logs
Urvashi,Urvashi Roe,2,3,9,OUT,40,Head of Marketing,"Enfield, London",Salt and Peppercorn Loaf,Chilli and Halloumi RollsLemon and Coriander Mini Loaves
Yasmin,Yasmin Limbert,2,3,2,STAR BAKER,43,Childminder,"West Kirby, The Wirral",Egyptian Dukkah Loaf with Mixed Spices,"Pesto Bread
Sweet Coconut Rolls"
Keith,Keith Batsford,2,3,NA,NA,31,House husband,"Arlesey, Bedfordshire",NA,NA
Simon,Simon Blackwell,2,3,NA,NA,31,Rugby Coach,Norfolk,NA,NA
Janet,Janet Basu,2,4,4,IN,63,Teacher of Modern Languages,"Formby, Liverpool",Christmas Marzipan Biscuits,"Raspberry Macarons
Blackcurrant Macarons
Almond Macarons"
Jo,Jo Wheatley,2,4,8,IN,41,Housewife,"Ongar, Essex",Lavender Biscuits,Blueberry MacaronsCoconut MacaronsStrawberry Macarons
Mary-Anne,Mary-Anne Boermans,2,4,2,IN,45,Housewife,"Kidderminster, Worcestershire",Melting Moments,Blackcurrant and Mint MacaronsGooseberry and Elderflower MacaronsHazelnut Macarons
Robert,Robert Billington,2,4,7,IN,25,Photographer,London,Chocolate and Ginger Oat Biscuits,Strawberry and Lime MacaronsLemon MacaronsChocolate and Cardamom Macarons
Yasmin,Yasmin Limbert,2,4,6,IN,43,Childminder,"West Kirby, The Wirral",Chocolate Chip and Pistachio Biscotti,Chocolate and Lime MacaronsCoffee and Walnut MacaronsPineapple and Coconut Macarons
Ben,Ben Frazer,2,4,5,OUT,31,Graphic Designer,Northampton,Stem Ginger Nuts,Chocolate and Almond MacaronsPine Nut MacaronsPistachio Macarons
Holly,Holly Bell,2,4,3,STAR BAKER,31,Advertising executive,Leicester,Strawberry and Custard Melts,"'Chocolate bars of my youth'
(Caramel Macarons, Mint Chocolate Macarons and Chocolate Orange Macarons)"
Jason,Jason White,2,4,1,STAR BAKER,19,Civil Engineering Student,Croydon,Lebkuchen,"Mocktail Macarons
(Mojito, Cranberry Cooler, and Pina Colada)"
Ian,Ian Vallance,2,4,NA,NA,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",NA,NA
Keith,Keith Batsford,2,4,NA,NA,31,House husband,"Arlesey, Bedfordshire",NA,NA
Simon,Simon Blackwell,2,4,NA,NA,31,Rugby Coach,Norfolk,NA,NA
Urvashi,Urvashi Roe,2,4,NA,NA,40,Head of Marketing,"Enfield, London",NA,NA
